CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C10057,115,1,9.0,2,1,1,4,Lost
C10058,80,1,33.35,2,1,3,6,Lost
C10059,294,3,22.75,1,4,2,7,Cant Lose Them
C10060,23,2,309.20000000000005,3,3,4,10,Loyal Customers
C10061,13,3,169.2,4,4,4,12,Champions
C10062,5,3,289.95,4,4,4,12,Champions
C10063,20,1,16.25,3,1,2,6,Potential Loyalists
C10064,289,2,108.1,1,3,3,7,Cant Lose Them
C10065,52,1,13.0,3,1,2,6,Potential Loyalists
C10066,161,1,52.25,2,1,3,6,Lost
C10067,182,2,151.75,2,3,4,9,At Risk
C10068,66,1,320.3,3,1,4,8,Potential Loyalists
C10069,17,1,26.45,4,1,2,7,New Customers
C10070,92,1,33.5,2,1,3,6,Lost
C10071,78,2,26.0,2,3,2,7,At Risk
C10072,22,2,44.8,3,3,3,9,Loyal Customers
C10073,5,1,30.85,4,1,3,8,New Customers
C10074,129,1,95.9,2,1,3,6,Lost
C10075,8,1,19.5,4,1,2,7,New Customers
C10076,254,1,45.5,1,1,3,5,Lost
C10077,185,1,19.5,2,1,2,5,Lost
C10078,19,2,15.95,4,3,2,9,Loyal Customers
C10079,2,4,478.6,4,4,4,12,Champions
C10080,2,8,1422.4,4,4,4,12,Champions
C10081,89,1,15.15,2,1,2,5,Lost
C10082,11,1,43.0,4,1,3,8,New Customers
C10083,23,2,341.25,3,3,4,10,Loyal Customers
C10084,172,1,42.25,2,1,3,6,Lost
C10085,210,2,9.75,1,3,1,5,Cant Lose Them
C10086,57,2,38.95,3,3,3,9,Loyal Customers
C10087,221,1,22.75,1,1,2,4,Lost
C10088,1,12,756.95,4,4,4,12,Champions
C10089,301,2,28.450000000000003,1,3,2,6,Cant Lose Them
C10090,66,1,110.5,3,1,4,8,Potential Loyalists
C10091,21,2,222.05,3,3,4,10,Loyal Customers
C10092,99,1,66.0,2,1,3,6,Lost
C10093,187,1,16.25,2,1,2,5,Lost
C10094,56,1,25.35,3,1,2,6,Potential Loyalists
C10095,98,1,50.650000000000006,2,1,3,6,Lost
C10096,14,1,9.75,4,1,1,6,New Customers
C10097,345,2,29.25,1,3,2,6,Cant Lose Them
C10098,101,1,41.5,2,1,3,6,Lost
C10099,24,2,95.10000000000001,3,3,3,9,Loyal Customers
C10100,243,1,6.5,1,1,1,3,Lost
C10101,82,1,44.4,2,1,3,6,Lost
C10102,9,19,2432.95,4,4,4,12,Champions
C10103,16,1,9.75,4,1,1,6,New Customers
C10104,33,1,39.5,3,1,3,7,Potential Loyalists
C10105,269,1,48.75,1,1,3,5,Lost
C10106,277,1,6.5,1,1,1,3,Lost
C10107,338,2,234.0,1,3,4,8,Cant Lose Them
C10108,20,2,265.6,3,3,4,10,Loyal Customers
C10109,27,3,84.5,3,4,3,10,Loyal Customers
C10110,24,1,39.0,3,1,3,7,Potential Loyalists
C10111,85,1,17.15,2,1,2,5,Lost
C10112,2,22,2110.6,4,4,4,12,Champions
C10113,10,1,55.6,4,1,3,8,New Customers
C10114,33,1,2.95,3,1,1,5,Potential Loyalists
C10115,290,1,22.75,1,1,2,4,Lost
C10116,42,2,39.0,3,3,3,9,Loyal Customers
C10117,200,1,13.0,2,1,2,5,Lost
C10118,67,1,54.35,3,1,3,7,Potential Loyalists
C10119,83,1,16.25,2,1,2,5,Lost
C10120,118,3,71.5,2,4,3,9,At Risk
C10121,115,1,13.05,2,1,2,5,Lost
C10122,20,1,32.5,3,1,3,7,Potential Loyalists
C10123,81,1,639.45,2,1,4,7,Lost
C10124,29,2,97.5,3,3,3,9,Loyal Customers
C10125,61,5,193.20000000000002,3,4,4,11,Loyal Customers
C10126,352,2,91.0,1,3,3,7,Cant Lose Them
C10127,250,2,36.85,1,3,3,7,Cant Lose Them
C10128,25,3,86.3,3,4,3,10,Loyal Customers
C10129,299,2,9.15,1,3,1,5,Cant Lose Them
C10130,208,1,71.5,1,1,3,5,Lost
C10131,39,2,294.1,3,3,4,10,Loyal Customers
C10132,243,2,15.05,1,3,2,6,Cant Lose Them
C10133,46,2,58.5,3,3,3,9,Loyal Customers
C10134,18,1,46.95,4,1,3,8,New Customers
C10135,108,1,19.1,2,1,2,5,Lost
C10136,1,2,169.4,4,3,4,11,Loyal Customers
C10137,234,1,29.25,1,1,2,4,Lost
C10138,225,1,27.5,1,1,2,4,Lost
C10139,15,1,9.2,4,1,1,6,New Customers
C10140,130,1,65.1,2,1,3,6,Lost
C10141,2,1,91.0,4,1,3,8,New Customers
C10142,115,2,52.0,2,3,3,8,At Risk
C10143,148,1,24.9,2,1,2,5,Lost
C10144,38,1,45.5,3,1,3,7,Potential Loyalists
C10145,80,1,9.75,2,1,1,4,Lost
C10146,8,1,52.0,4,1,3,8,New Customers
C10147,5,13,1052.3500000000001,4,4,4,12,Champions
C10148,119,1,26.75,2,1,2,5,Lost
C10149,1,1,133.25,4,1,4,9,New Customers
C10150,9,2,51.95,4,3,3,10,Loyal Customers
C10151,37,3,102.65,3,4,3,10,Loyal Customers
C10152,70,5,491.0,2,4,4,10,At Risk
C10153,58,1,733.8499999999999,3,1,4,8,Potential Loyalists
C10154,44,1,13.0,3,1,2,6,Potential Loyalists
C10155,306,1,80.1,1,1,3,5,Lost
C10156,66,1,22.75,3,1,2,6,Potential Loyalists
C10157,45,1,13.95,3,1,2,6,Potential Loyalists
C10158,12,2,305.0,4,3,4,11,Loyal Customers
C10159,22,1,19.5,3,1,2,6,Potential Loyalists
C10160,4,9,500.8,4,4,4,12,Champions
C10161,125,1,19.5,2,1,2,5,Lost
C10162,39,1,152.75,3,1,4,8,Potential Loyalists
C10163,223,1,66.05,1,1,3,5,Lost
C10164,55,1,22.75,3,1,2,6,Potential Loyalists
C10165,7,1,63.6,4,1,3,8,New Customers
C10166,46,2,16.25,3,3,2,8,Loyal Customers
C10167,43,2,13.0,3,3,2,8,Loyal Customers
C10168,2,10,435.6,4,4,4,12,Champions
C10169,9,5,860.9000000000001,4,4,4,12,Champions
C10170,1,16,1260.65,4,4,4,12,Champions
C10171,186,1,260.0,2,1,4,7,Lost
C10172,30,1,24.8,3,1,2,6,Potential Loyalists
C10173,152,1,6.300000000000001,2,1,1,4,Lost
C10174,32,1,39.0,3,1,3,7,Potential Loyalists
C10175,33,1,35.75,3,1,3,7,Potential Loyalists
C10176,362,1,2.95,1,1,1,3,Lost
C10177,13,3,61.2,4,4,3,11,Loyal Customers
C10178,16,1,104.25,4,1,3,8,New Customers
C10179,323,2,26.700000000000003,1,3,2,6,Cant Lose Them
C10180,269,1,54.2,1,1,3,5,Lost
C10181,3,9,2227.35,4,4,4,12,Champions
C10182,7,6,116.85,4,4,4,12,Champions
C10183,9,3,59.35,4,4,3,11,Loyal Customers
C10184,23,3,312.1,3,4,4,11,Loyal Customers
C10185,20,1,13.0,3,1,2,6,Potential Loyalists
C10186,69,2,12.8,2,3,2,7,At Risk
C10187,4,2,235.05,4,3,4,11,Loyal Customers
C10188,25,1,27.450000000000003,3,1,2,6,Potential Loyalists
C10189,63,1,54.55,3,1,3,7,Potential Loyalists
C10190,28,1,1506.6,3,1,4,8,Potential Loyalists
C10191,80,1,236.6,2,1,4,7,Lost
C10192,33,1,311.15000000000003,3,1,4,8,Potential Loyalists
C10193,26,1,26.0,3,1,2,6,Potential Loyalists
C10194,229,1,48.75,1,1,3,5,Lost
C10195,133,2,45.35,2,3,3,8,At Risk
C10196,81,1,318.5,2,1,4,7,Lost
C10197,6,7,557.7,4,4,4,12,Champions
C10198,14,2,48.45,4,3,3,10,Loyal Customers
C10199,5,1,34.0,4,1,3,8,New Customers
C10200,35,1,5.35,3,1,1,5,Potential Loyalists
C10201,105,2,371.5,2,3,4,9,At Risk
C10202,217,2,16.25,1,3,2,6,Cant Lose Them
C10203,255,1,3.25,1,1,1,3,Lost
C10204,181,1,39.0,2,1,3,6,Lost
C10205,173,2,45.5,2,3,3,8,At Risk
C10206,15,1,41.95,4,1,3,8,New Customers
C10207,41,3,98.05,3,4,3,10,Loyal Customers
C10208,283,1,159.25,1,1,4,6,Lost
C10209,2,1,32.5,4,1,3,8,New Customers
C10210,7,2,19.5,4,3,2,9,Loyal Customers
C10211,7,1,19.5,4,1,2,7,New Customers
C10212,39,1,23.3,3,1,2,6,Potential Loyalists
C10213,336,1,42.25,1,1,3,5,Lost
C10214,97,4,83.5,2,4,3,9,At Risk
C10215,13,2,38.45,4,3,3,10,Loyal Customers
C10216,26,3,91.0,3,4,3,10,Loyal Customers
C10217,53,1,58.5,3,1,3,7,Potential Loyalists
C10218,195,1,52.0,2,1,3,6,Lost
C10219,29,3,165.75,3,4,4,11,Loyal Customers
C10220,16,1,13.0,4,1,2,7,New Customers
C10221,55,1,42.25,3,1,3,7,Potential Loyalists
C10222,3,2,71.5,4,3,3,10,Loyal Customers
C10223,21,2,9.75,3,3,1,7,Loyal Customers
C10224,153,1,3.25,2,1,1,4,Lost
C10225,154,3,163.5,2,4,4,10,At Risk
C10226,193,1,36.8,2,1,3,6,Lost
C10227,37,2,70.5,3,3,3,9,Loyal Customers
C10228,14,5,507.65,4,4,4,12,Champions
C10229,56,3,52.0,3,4,3,10,Loyal Customers
C10230,29,1,18.05,3,1,2,6,Potential Loyalists
C10231,61,1,42.25,3,1,3,7,Potential Loyalists
C10232,346,1,192.59999999999997,1,1,4,6,Lost
C10233,79,1,35.75,2,1,3,6,Lost
C10234,365,1,133.25,1,1,4,6,Lost
C10235,14,1,42.9,4,1,3,8,New Customers
C10236,49,1,93.7,3,1,3,7,Potential Loyalists
C10237,137,1,22.75,2,1,2,5,Lost
C10238,168,1,227.3,2,1,4,7,Lost
C10239,23,2,149.5,3,3,4,10,Loyal Customers
C10240,100,1,9.75,2,1,1,4,Lost
C10241,187,2,22.75,2,3,2,7,At Risk
C10242,94,1,25.8,2,1,2,5,Lost
C10243,267,1,362.54999999999995,1,1,4,6,Lost
C10244,278,1,13.0,1,1,2,4,Lost
C10245,3,7,525.5,4,4,4,12,Champions
C10246,8,3,213.9,4,4,4,12,Champions
C10247,25,1,19.5,3,1,2,6,Potential Loyalists
C10248,17,1,19.5,4,1,2,7,New Customers
C10249,214,1,17.45,1,1,2,4,Lost
C10250,276,1,240.5,1,1,4,6,Lost
C10251,27,4,436.9,3,4,4,11,Loyal Customers
C10252,20,1,9.75,3,1,1,5,Potential Loyalists
C10253,345,1,26.45,1,1,2,4,Lost
C10254,2,2,27.25,4,3,2,9,Loyal Customers
C10255,138,1,61.2,2,1,3,6,Lost
C10256,25,1,39.0,3,1,3,7,Potential Loyalists
C10257,60,2,188.65,3,3,4,10,Loyal Customers
C10258,7,1,7.75,4,1,1,6,New Customers
C10259,36,1,240.5,3,1,4,8,Potential Loyalists
C10260,158,1,24.75,2,1,2,5,Lost
C10261,17,1,34.3,4,1,3,8,New Customers
C10262,1,2,48.75,4,3,3,10,Loyal Customers
C10263,7,7,1280.15,4,4,4,12,Champions
C10264,9,4,230.35,4,4,4,12,Champions
C10265,1,25,1978.9,4,4,4,12,Champions
C10266,46,2,92.45,3,3,3,9,Loyal Customers
C10267,20,1,154.7,3,1,4,8,Potential Loyalists
C10268,13,1,16.25,4,1,2,7,New Customers
C10269,65,1,35.75,3,1,3,7,Potential Loyalists
C10270,137,1,194.05,2,1,4,7,Lost
C10271,11,1,28.1,4,1,2,7,New Customers
C10272,10,2,120.3,4,3,4,11,Loyal Customers
C10273,64,1,13.0,3,1,2,6,Potential Loyalists
C10274,57,1,13.0,3,1,2,6,Potential Loyalists
C10275,68,2,399.75,3,3,4,10,Loyal Customers
C10276,7,2,156.0,4,3,4,11,Loyal Customers
C10277,34,4,202.25,3,4,4,11,Loyal Customers
C10278,148,1,45.5,2,1,3,6,Lost
C10279,3,2,27.450000000000003,4,3,2,9,Loyal Customers
C10280,232,1,17.2,1,1,2,4,Lost
C10281,17,1,96.19999999999999,4,1,3,8,New Customers
C10282,42,3,92.65,3,4,3,10,Loyal Customers
C10283,37,1,16.25,3,1,2,6,Potential Loyalists
C10284,234,2,9.75,1,3,1,5,Cant Lose Them
C10285,76,2,32.5,2,3,3,8,At Risk
C10286,45,2,12.45,3,3,2,8,Loyal Customers
C10287,1,1,22.75,4,1,2,7,New Customers
C10288,18,5,532.35,4,4,4,12,Champions
C10289,5,15,1455.15,4,4,4,12,Champions
C10290,20,2,310.05,3,3,4,10,Loyal Customers
C10291,25,6,220.95000000000002,3,4,4,11,Loyal Customers
C10292,11,2,30.2,4,3,3,10,Loyal Customers
C10293,59,2,65.0,3,3,3,9,Loyal Customers
C10294,279,1,42.25,1,1,3,5,Lost
C10295,49,1,178.10000000000002,3,1,4,8,Potential Loyalists
C10296,149,1,16.25,2,1,2,5,Lost
C10297,29,1,454.40000000000003,3,1,4,8,Potential Loyalists
C10298,70,2,60.0,2,3,3,8,At Risk
C10299,1,13,1131.35,4,4,4,12,Champions
C10300,6,1,32.5,4,1,3,8,New Customers
C10301,133,1,40.5,2,1,3,6,Lost
C10302,3,5,122.85,4,4,4,12,Champions
C10303,134,1,19.5,2,1,2,5,Lost
C10304,68,1,16.25,3,1,2,6,Potential Loyalists
C10305,102,1,21.6,2,1,2,5,Lost
C10306,156,1,42.25,2,1,3,6,Lost
C10307,59,2,58.5,3,3,3,9,Loyal Customers
C10308,64,2,191.20000000000002,3,3,4,10,Loyal Customers
C10309,195,1,64.2,2,1,3,6,Lost
C10310,118,1,52.0,2,1,3,6,Lost
C10311,3,17,1756.5,4,4,4,12,Champions
C10312,248,1,40.85,1,1,3,5,Lost
C10313,173,1,16.25,2,1,2,5,Lost
C10314,168,2,47.25,2,3,3,8,At Risk
C10315,10,1,239.9,4,1,4,9,New Customers
C10316,2,27,2694.45,4,4,4,12,Champions
C10317,63,1,108.3,3,1,4,8,Potential Loyalists
C10318,5,1,56.3,4,1,3,8,New Customers
C10319,205,1,33.65,2,1,3,6,Lost
C10320,347,1,42.2,1,1,3,5,Lost
C10321,110,2,65.35,2,3,3,8,At Risk
C10322,128,1,55.25,2,1,3,6,Lost
C10323,22,4,529.9,3,4,4,11,Loyal Customers
C10324,7,5,236.55,4,4,4,12,Champions
C10325,2,1,6.5,4,1,1,6,New Customers
C10326,58,2,48.75,3,3,3,9,Loyal Customers
C10327,102,1,97.5,2,1,3,6,Lost
C10328,47,1,15.5,3,1,2,6,Potential Loyalists
C10329,17,1,26.0,4,1,2,7,New Customers
C10330,55,2,19.7,3,3,2,8,Loyal Customers
C10331,28,11,791.6,3,4,4,11,Loyal Customers
C10332,218,1,31.4,1,1,3,5,Lost
C10333,27,2,523.25,3,3,4,10,Loyal Customers
C10334,174,1,9.75,2,1,1,4,Lost
C10335,6,2,108.25,4,3,3,10,Loyal Customers
C10336,71,1,48.75,2,1,3,6,Lost
C10337,19,2,135.2,4,3,4,11,Loyal Customers
C10338,75,1,12.2,2,1,2,5,Lost
C10339,185,1,47.6,2,1,3,6,Lost
C10340,27,2,47.55,3,3,3,9,Loyal Customers
C10341,73,1,1082.8999999999999,2,1,4,7,Lost
C10342,14,2,19.3,4,3,2,9,Loyal Customers
C10343,9,1,58.5,4,1,3,8,New Customers
C10344,71,2,58.5,2,3,3,8,At Risk
C10345,96,2,42.75,2,3,3,8,At Risk
C10346,58,2,32.5,3,3,3,9,Loyal Customers
C10347,47,1,43.3,3,1,3,7,Potential Loyalists
C10348,65,1,132.1,3,1,4,8,Potential Loyalists
C10349,24,1,354.25,3,1,4,8,Potential Loyalists
C10350,1,9,360.6,4,4,4,12,Champions
C10351,19,1,35.4,4,1,3,8,New Customers
C10352,61,1,21.6,3,1,2,6,Potential Loyalists
C10353,2,18,2072.6,4,4,4,12,Champions
C10354,15,2,132.9,4,3,4,11,Loyal Customers
C10355,15,1,29.25,4,1,2,7,New Customers
C10356,65,2,39.0,3,3,3,9,Loyal Customers
C10357,7,3,568.35,4,4,4,12,Champions
C10358,6,1,44.75,4,1,3,8,New Customers
C10359,25,2,133.25,3,3,4,10,Loyal Customers
C10360,11,1,28.1,4,1,2,7,New Customers
C10361,18,1,39.0,4,1,3,8,New Customers
C10362,34,2,194.4,3,3,4,10,Loyal Customers
C10363,28,1,22.75,3,1,2,6,Potential Loyalists
C10364,13,4,389.6,4,4,4,12,Champions
C10365,32,1,326.75,3,1,4,8,Potential Loyalists
C10366,67,1,88.7,3,1,3,7,Potential Loyalists
C10367,39,1,19.5,3,1,2,6,Potential Loyalists
C10368,117,2,5.35,2,3,1,6,At Risk
C10369,65,1,28.5,3,1,2,6,Potential Loyalists
C10370,27,1,9.75,3,1,1,5,Potential Loyalists
C10371,102,3,55.0,2,4,3,9,At Risk
C10372,121,1,62.900000000000006,2,1,3,6,Lost
C10373,29,1,16.25,3,1,2,6,Potential Loyalists
C10374,186,1,117.0,2,1,4,7,Lost
C10375,310,2,19.5,1,3,2,6,Cant Lose Them
C10376,15,1,35.75,4,1,3,8,New Customers
C10377,298,2,135.85,1,3,4,8,Cant Lose Them
C10378,251,2,32.5,1,3,3,7,Cant Lose Them
C10379,7,20,1578.35,4,4,4,12,Champions
C10380,105,2,97.5,2,3,3,8,At Risk
C10381,192,1,107.5,2,1,3,6,Lost
C10382,3,1,19.65,4,1,2,7,New Customers
C10383,54,1,319.0,3,1,4,8,Potential Loyalists
C10384,76,1,60.75,2,1,3,6,Lost
C10385,27,2,121.4,3,3,4,10,Loyal Customers
C10386,9,2,47.85,4,3,3,10,Loyal Customers
C10387,7,1,26.0,4,1,2,7,New Customers
C10388,20,1,166.60000000000002,3,1,4,8,Potential Loyalists
C10389,14,1,65.0,4,1,3,8,New Customers
C10390,111,1,6.5,2,1,1,4,Lost
C10391,201,1,78.0,2,1,3,6,Lost
C10392,217,1,30.1,1,1,3,5,Lost
C10393,18,1,13.0,4,1,2,7,New Customers
C10394,191,2,22.75,2,3,2,7,At Risk
C10395,14,1,8.6,4,1,1,6,New Customers
C10396,28,9,394.70000000000005,3,4,4,11,Loyal Customers
C10397,348,1,9.75,1,1,1,3,Lost
C10398,3,1,26.0,4,1,2,7,New Customers
C10399,89,2,80.85,2,3,3,8,At Risk
C10400,1,12,634.3,4,4,4,12,Champions
C10401,205,2,6.5,2,3,1,6,At Risk
C10402,112,1,41.1,2,1,3,6,Lost
C10403,2,1,121.35,4,1,4,9,New Customers
C10404,175,1,9.45,2,1,1,4,Lost
C10405,164,1,35.75,2,1,3,6,Lost
C10406,4,24,2557.6,4,4,4,12,Champions
C10407,28,2,249.15,3,3,4,10,Loyal Customers
C10408,4,2,545.95,4,3,4,11,Loyal Customers
C10409,4,18,1240.8,4,4,4,12,Champions
C10410,104,2,12.7,2,3,2,7,At Risk
C10411,149,1,13.0,2,1,2,5,Lost
C10412,24,2,53.35,3,3,3,9,Loyal Customers
C10413,10,1,16.25,4,1,2,7,New Customers
C10414,42,1,22.4,3,1,2,6,Potential Loyalists
C10415,2,1,13.0,4,1,2,7,New Customers
C10416,203,1,19.5,2,1,2,5,Lost
C10417,8,1,32.5,4,1,3,8,New Customers
C10418,2,1,31.4,4,1,3,8,New Customers
C10419,10,2,169.0,4,3,4,11,Loyal Customers
C10420,40,3,22.75,3,4,2,9,Loyal Customers
C10421,2,1,29.25,4,1,2,7,New Customers
C10422,2,22,1879.55,4,4,4,12,Champions
C10423,23,1,45.5,3,1,3,7,Potential Loyalists
C10424,27,2,26.0,3,3,2,8,Loyal Customers
C10425,109,1,27.6,2,1,2,5,Lost
C10426,7,3,48.45,4,4,3,11,Loyal Customers
C10427,3,2,233.7,4,3,4,11,Loyal Customers
C10428,282,1,16.25,1,1,2,4,Lost
C10429,267,2,81.25,1,3,3,7,Cant Lose Them
C10430,87,1,6.5,2,1,1,4,Lost
C10431,31,1,58.25,3,1,3,7,Potential Loyalists
C10432,6,17,2848.55,4,4,4,12,Champions
C10433,19,1,140.8,4,1,4,9,New Customers
C10434,130,4,292.85,2,4,4,10,At Risk
C10435,3,2,19.5,4,3,2,9,Loyal Customers
C10436,130,1,28.95,2,1,2,5,Lost
C10437,14,2,33.45,4,3,3,10,Loyal Customers
C10438,16,1,39.0,4,1,3,8,New Customers
C10439,14,12,1097.0,4,4,4,12,Champions
C10440,4,20,2195.3,4,4,4,12,Champions
C10441,245,2,22.75,1,3,2,6,Cant Lose Them
C10442,323,1,87.75,1,1,3,5,Lost
C10443,2,19,1935.65,4,4,4,12,Champions
C10444,16,2,5.75,4,3,1,8,Loyal Customers
C10445,347,1,11.9,1,1,2,4,Lost
C10446,21,1,11.25,3,1,2,6,Potential Loyalists
C10447,101,1,147.6,2,1,4,7,Lost
C10448,17,2,15.95,4,3,2,9,Loyal Customers
C10449,75,1,65.75,2,1,3,6,Lost
C10450,13,2,568.0,4,3,4,11,Loyal Customers
C10451,40,1,139.5,3,1,4,8,Potential Loyalists
C10452,65,2,26.0,3,3,2,8,Loyal Customers
C10453,69,1,6.25,2,1,1,4,Lost
C10454,21,1,266.6,3,1,4,8,Potential Loyalists
C10455,104,1,39.0,2,1,3,6,Lost
C10456,86,1,44.05,2,1,3,6,Lost
C10457,51,1,43.3,3,1,3,7,Potential Loyalists
C10458,260,1,30.700000000000003,1,1,3,5,Lost
C10459,53,1,71.5,3,1,3,7,Potential Loyalists
C10460,330,2,9.75,1,3,1,5,Cant Lose Them
C10461,267,1,42.25,1,1,3,5,Lost
C10462,62,1,13.0,3,1,2,6,Potential Loyalists
C10463,149,1,57.45,2,1,3,6,Lost
C10464,327,1,12.8,1,1,2,4,Lost
C10465,15,8,218.4,4,4,4,12,Champions
C10466,13,1,32.5,4,1,3,8,New Customers
C10467,1,14,2383.15,4,4,4,12,Champions
C10468,51,2,32.5,3,3,3,9,Loyal Customers
C10469,98,1,23.7,2,1,2,5,Lost
C10470,82,1,247.0,2,1,4,7,Lost
C10471,90,1,133.25,2,1,4,7,Lost
C10472,96,1,48.75,2,1,3,6,Lost
C10473,7,3,263.1,4,4,4,12,Champions
C10474,169,2,21.55,2,3,2,7,At Risk
C10475,16,1,19.5,4,1,2,7,New Customers
C10476,3,1,38.25,4,1,3,8,New Customers
C10477,2,2,133.75,4,3,4,11,Loyal Customers
C10478,113,1,155.3,2,1,4,7,Lost
C10479,196,1,53.05,2,1,3,6,Lost
C10480,11,3,153.2,4,4,4,12,Champions
C10481,64,1,55.25,3,1,3,7,Potential Loyalists
C10482,176,1,15.15,2,1,2,5,Lost
C10483,5,1,104.55,4,1,3,8,New Customers
C10484,246,2,7.75,1,3,1,5,Cant Lose Them
C10485,7,1,76.85,4,1,3,8,New Customers
C10486,109,1,68.5,2,1,3,6,Lost
C10487,39,2,9.75,3,3,1,7,Loyal Customers
C10488,304,1,39.0,1,1,3,5,Lost
C10489,13,20,1456.85,4,4,4,12,Champions
C10490,168,2,42.25,2,3,3,8,At Risk
C10491,4,23,1898.1,4,4,4,12,Champions
C10492,129,1,16.25,2,1,2,5,Lost
C10493,46,1,764.05,3,1,4,8,Potential Loyalists
C10494,46,1,58.3,3,1,3,7,Potential Loyalists
C10495,18,1,125.6,4,1,4,9,New Customers
C10496,39,1,76.4,3,1,3,7,Potential Loyalists
C10497,4,1,29.25,4,1,2,7,New Customers
C10498,248,1,22.75,1,1,2,4,Lost
C10499,1,23,2250.8,4,4,4,12,Champions
C10500,25,1,13.0,3,1,2,6,Potential Loyalists
C10501,3,17,1711.3,4,4,4,12,Champions
C10502,19,2,48.75,4,3,3,10,Loyal Customers
C10503,59,2,35.75,3,3,3,9,Loyal Customers
C10504,7,1,35.75,4,1,3,8,New Customers
C10505,152,1,8.6,2,1,1,4,Lost
C10506,102,1,325.0,2,1,4,7,Lost
C10507,221,1,18.95,1,1,2,4,Lost
C10508,147,1,29.25,2,1,2,5,Lost
C10509,65,1,9.65,3,1,1,5,Potential Loyalists
C10510,44,2,17.2,3,3,2,8,Loyal Customers
C10511,161,1,234.0,2,1,4,7,Lost
C10512,153,1,8.6,2,1,1,4,Lost
C10513,33,3,39.9,3,4,3,10,Loyal Customers
C10514,3,2,87.75,4,3,3,10,Loyal Customers
C10515,34,4,189.7,3,4,4,11,Loyal Customers
C10516,284,1,6.5,1,1,1,3,Lost
C10517,55,1,30.3,3,1,3,7,Potential Loyalists
C10518,11,5,156.0,4,4,4,12,Champions
C10519,26,2,84.7,3,3,3,9,Loyal Customers
C10520,26,1,20.05,3,1,2,6,Potential Loyalists
C10521,3,1,51.95,4,1,3,8,New Customers
C10522,45,1,39.65,3,1,3,7,Potential Loyalists
C10523,1,3,60.1,4,4,3,11,Loyal Customers
C10524,15,3,1021.15,4,4,4,12,Champions
C10525,35,1,152.75,3,1,4,8,Potential Loyalists
C10526,6,1,48.7,4,1,3,8,New Customers
C10527,100,1,26.700000000000003,2,1,2,5,Lost
