InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV536439,P10006,LUNCH BAG RED RETROSPOT,1,2011-09-08,1.65,C12474,France
INV536471,P10177,WICKER BASKET 178,3,2011-02-26,3.25,C12603,Netherlands
INV536472,P10177,WICKER BASKET 178,6,2011-10-29,3.25,C10116,United Kingdom
INV536473,P10177,WICKER BASKET 178,5,2011-08-31,3.25,C11450,United Kingdom
INV536474,P10179,LINEN NAPKIN SET 180,2,2011-11-05,2.1,C11818,United Kingdom
INV536475,P10096,METAL LANTERN 97,2,2011-04-12,4.25,C10112,United Kingdom
INV536476,P10019,RECYCLED ACRYLIC JEWEL BRACELET,5,2011-04-03,2.95,C11566,United Kingdom
INV536477,P10137,WICKER BASKET 138,6,2010-12-05,5.95,C10583,United Kingdom
INV536456,P10177,WICKER BASKET 178,6,2011-10-14,3.25,C12914,United Kingdom
INV536478,P10137,WICKER BASKET 138,1,2011-04-03,5.95,C13890,United Kingdom
INV536479,P10177,WICKER BASKET 178,1,2011-04-01,3.25,C11160,EIRE
INV536480,P10177,WICKER BASKET 178,3,2011-09-15,3.25,C10566,United Kingdom
INV536481,P10177,WICKER BASKET 178,3,2011-02-26,3.25,C10025,United Kingdom
INV536444,P10137,WICKER BASKET 138,24,2011-11-20,5.95,C10489,United Kingdom
INV536482,P10177,WICKER BASKET 178,1,2011-07-02,3.25,C11036,France
INV536483,P10179,LINEN NAPKIN SET 180,8,2011-12-03,2.1,C10324,Germany
INV536484,P10179,LINEN NAPKIN SET 180,96,2010-12-16,2.1,C11615,Netherlands
INV536485,P10177,WICKER BASKET 178,10,2011-04-06,3.25,C13776,United Kingdom
INV536486,P10023,SCENTED CANDLE 24,8,2011-04-26,3.25,C11129,United Kingdom
INV536487,P10177,WICKER BASKET 178,1,2011-10-02,3.25,C13330,United Kingdom
INV536488,P10177,WICKER BASKET 178,10,2011-01-31,3.25,C11786,United Kingdom
INV536489,P10177,WICKER BASKET 178,4,2011-04-23,3.25,C13353,United Kingdom
INV536490,P10177,WICKER BASKET 178,5,2011-11-20,3.25,C10108,United Kingdom
INV536452,P10177,WICKER BASKET 178,3,2010-12-23,3.25,C12896,Belgium
INV536491,P10179,LINEN NAPKIN SET 180,24,2011-10-07,2.1,C10289,France
INV536492,P10052,WOODEN FRAME 53,4,2011-09-21,14.95,C13878,United Kingdom
INV536493,P10137,WICKER BASKET 138,4,2010-12-27,5.95,C12051,EIRE
INV536494,P10177,WICKER BASKET 178,2,2011-09-15,3.25,C12781,United Kingdom
INV536495,P10177,WICKER BASKET 178,4,2011-07-19,3.25,C13591,United Kingdom
INV536496,P10177,WICKER BASKET 178,2,2011-03-14,3.25,C12896,Belgium
INV536497,P10177,WICKER BASKET 178,1,2011-03-25,3.25,C12662,Netherlands
INV536498,P10168,PORCELAIN BOWL 169,3,2011-11-03,1.25,C11092,United Kingdom
INV536499,P10177,WICKER BASKET 178,10,2011-02-12,3.25,C12379,United Kingdom
INV536500,P10177,WICKER BASKET 178,10,2011-06-21,3.25,C12921,United Kingdom
INV536501,P10177,WICKER BASKET 178,24,2011-09-12,3.25,C13853,United Kingdom
C536502,P10131,CANVAS TOTE 132,-24,2010-12-26,2.1,C12689,Germany
INV536503,P10179,LINEN NAPKIN SET 180,36,2011-11-25,2.1,C12435,United Kingdom
INV536504,P10177,WICKER BASKET 178,6,2011-03-02,3.25,C10930,United Kingdom
INV536378,P10177,WICKER BASKET 178,1,2011-03-29,3.25,C13902,United Kingdom
C536505,P10177,WICKER BASKET 178,-4,2011-09-06,3.25,C12539,United Kingdom
INV536506,P10177,WICKER BASKET 178,4,2010-12-16,3.25,C12319,United Kingdom
INV536507,P10177,WICKER BASKET 178,1,2011-08-19,3.25,C11563,United Kingdom
INV536508,P10177,WICKER BASKET 178,6,2011-11-22,3.25,C11271,United Kingdom
INV536509,P10177,WICKER BASKET 178,3,2011-02-23,3.25,C13490,Germany
INV536510,P10038,PORCELAIN BOWL 39,1,2011-04-17,5.95,C13354,United Kingdom
INV536511,P10177,WICKER BASKET 178,24,2011-02-12,3.25,C13070,United Kingdom
INV536512,P10177,WICKER BASKET 178,1,2011-10-30,3.25,C10181,United Kingdom
INV536446,P10019,RECYCLED ACRYLIC JEWEL BRACELET,1,2011-01-07,2.95,C10596,Spain
INV536513,P10168,PORCELAIN BOWL 169,2,2011-04-10,1.25,C12945,United Kingdom
INV536514,P10168,PORCELAIN BOWL 169,6,2011-08-05,1.25,C10070,United Kingdom
INV536515,P10177,WICKER BASKET 178,8,2011-05-06,3.25,C11621,United Kingdom
INV536495,P10177,WICKER BASKET 178,1,2010-12-14,3.25,C13591,United Kingdom
INV536516,P10177,WICKER BASKET 178,3,2011-11-29,3.25,C11392,United Kingdom
INV536517,P10019,RECYCLED ACRYLIC JEWEL BRACELET,5,2011-04-06,2.95,C13091,France
INV536437,P10168,PORCELAIN BOWL 169,5,2011-05-22,1.25,C11579,Germany
INV536518,P10177,WICKER BASKET 178,5,2011-01-07,3.25,,United Kingdom
INV536519,P10177,WICKER BASKET 178,3,2011-11-10,3.25,C13671,United Kingdom
INV536520,P10177,WICKER BASKET 178,3,2011-03-16,3.25,C11057,United Kingdom
C536521,P10177,WICKER BASKET 178,-12,2010-12-04,3.25,C12827,United Kingdom
INV536522,P10177,WICKER BASKET 178,36,2011-03-27,3.25,C10776,United Kingdom
INV536523,P10177,WICKER BASKET 178,1,2011-12-06,3.25,C11938,United Kingdom
INV536524,P10177,WICKER BASKET 178,120,2010-12-30,3.25,C10628,United Kingdom
INV536525,P10177,WICKER BASKET 178,1,2010-12-07,3.25,C10501,United Kingdom
INV536526,P10137,WICKER BASKET 138,8,2011-07-24,5.95,C13703,United Kingdom
INV536527,P10137,WICKER BASKET 138,1,2011-04-22,5.95,C10922,France
INV536402,P10177,WICKER BASKET 178,5,2011-10-22,3.25,C12511,United Kingdom
INV536528,P10137,WICKER BASKET 138,4,2011-10-02,5.95,C10776,United Kingdom
INV536529,P10177,WICKER BASKET 178,120,2011-01-17,3.25,C11258,United Kingdom
INV536530,P10177,WICKER BASKET 178,3,2011-07-16,3.25,C13792,United Kingdom
INV536531,P10177,WICKER BASKET 178,5,2010-12-07,3.25,C12962,United Kingdom
INV536403,P10177,WICKER BASKET 178,6,2011-05-20,3.25,C13638,Spain
INV536532,P10177,WICKER BASKET 178,6,2011-09-26,3.25,C12700,United Kingdom
INV536533,P10177,WICKER BASKET 178,5,2011-05-10,3.25,C12497,United Kingdom
INV536414,P10177,WICKER BASKET 178,8,2010-12-24,3.25,C12077,United Kingdom
INV536534,P10177,WICKER BASKET 178,6,2010-12-13,3.25,C10779,United Kingdom
INV536535,P10177,WICKER BASKET 178,2,2011-11-07,3.25,C10409,United Kingdom
INV536378,P10019,RECYCLED ACRYLIC JEWEL BRACELET,1,2011-11-16,2.95,C13902,United Kingdom
INV536536,P10019,RECYCLED ACRYLIC JEWEL BRACELET,12,2011-04-09,2.95,C13519,United Kingdom
INV536537,P10177,WICKER BASKET 178,1,2011-01-05,3.25,C10742,United Kingdom
INV536538,P10177,WICKER BASKET 178,2,2011-12-05,3.25,C12388,United Kingdom
INV536417,P10177,WICKER BASKET 178,4,2011-07-06,3.25,C11758,United Kingdom
INV536398,P10177,WICKER BASKET 178,8,2011-06-04,3.25,C12184,United Kingdom
INV536539,P10137,WICKER BASKET 138,2,2011-10-05,5.95,C13524,United Kingdom
INV536381,P10177,WICKER BASKET 178,5,2011-01-08,3.25,C13120,United Kingdom
INV536540,P10177,WICKER BASKET 178,2,2011-07-25,3.25,C10596,Spain
INV536541,P10177,WICKER BASKET 178,1,2011-11-16,3.25,C11397,United Kingdom
INV536542,P10177,WICKER BASKET 178,6,2010-12-05,3.25,C13804,United Kingdom
INV536543,P10179,LINEN NAPKIN SET 180,5,2011-09-09,2.1,C12942,United Kingdom
INV536438,P10177,WICKER BASKET 178,1,2011-07-09,3.25,C12903,United Kingdom
INV536544,P10177,WICKER BASKET 178,10,2011-11-30,3.25,C11166,United Kingdom
INV536545,P10177,WICKER BASKET 178,1,2011-03-01,3.25,C13344,France
INV536546,P10177,WICKER BASKET 178,8,2011-11-09,3.25,C10853,United Kingdom
INV536547,P10177,WICKER BASKET 178,3,2011-03-24,3.25,C11280,United Kingdom
INV536485,P10177,WICKER BASKET 178,2,2011-05-16,3.25,C13776,United Kingdom
INV536548,P10177,WICKER BASKET 178,4,2011-01-31,3.25,C12520,France
INV536549,P10177,WICKER BASKET 178,3,2011-11-10,3.25,C12671,Spain
INV536501,P10179,LINEN NAPKIN SET 180,12,2011-01-22,2.1,C13853,United Kingdom
INV536395,P10177,WICKER BASKET 178,5,2011-11-09,3.25,C10733,United Kingdom
INV536550,P10179,LINEN NAPKIN SET 180,8,2011-05-26,2.1,C10357,United Kingdom
INV536551,P10177,WICKER BASKET 178,1,2011-11-03,3.25,C11708,United Kingdom
INV536552,P10177,WICKER BASKET 178,3,2011-03-04,3.25,C11248,Spain
INV536403,P10177,WICKER BASKET 178,2,2010-12-27,3.25,C13638,Spain
INV536397,P10137,WICKER BASKET 138,1,2011-07-11,5.95,C11050,United Kingdom
INV536553,P10177,WICKER BASKET 178,48,2011-06-19,3.25,C10631,United Kingdom
INV536554,P10177,WICKER BASKET 178,5,2011-04-15,3.25,C12369,EIRE
INV536515,P10177,WICKER BASKET 178,2,2011-09-05,3.25,C11621,United Kingdom
INV536555,P10179,LINEN NAPKIN SET 180,3,2010-12-19,2.1,C10158,Spain
INV536379,P10067,WICKER BASKET 68,3,2011-08-16,7.95,C13242,United Kingdom
INV536437,P10177,WICKER BASKET 178,1,2011-01-31,3.25,C11579,Germany
INV536556,P10177,WICKER BASKET 178,8,2010-12-26,3.25,C10843,United Kingdom
INV536557,P10106,METAL LANTERN 107,8,2011-11-20,3.25,C13369,France
INV536558,P10177,WICKER BASKET 178,6,2011-05-28,3.25,C10584,United Kingdom
INV536462,P10177,WICKER BASKET 178,2,2011-10-12,3.25,C11745,United Kingdom
INV536559,P10177,WICKER BASKET 178,1,2010-12-18,3.25,C10059,United Kingdom
INV536497,P10177,WICKER BASKET 178,1,2010-12-12,3.25,C12662,Netherlands
INV536560,P10177,WICKER BASKET 178,3,2011-06-12,3.25,C11929,United Kingdom
INV536468,P10177,WICKER BASKET 178,24,2011-03-27,3.25,C10722,France
INV536561,P10038,PORCELAIN BOWL 39,3,2010-12-01,5.95,C11228,United Kingdom
INV536562,P10177,WICKER BASKET 178,12,2011-01-15,3.25,C10499,United Kingdom
INV536563,P10177,WICKER BASKET 178,4,2011-02-04,3.25,C13422,United Kingdom
INV536564,P10177,WICKER BASKET 178,5,2011-03-15,3.25,C10607,EIRE
INV536565,P10177,WICKER BASKET 178,8,2011-11-13,3.25,C13872,United Kingdom
INV536519,P10177,WICKER BASKET 178,2,2011-05-12,3.25,C13671,United Kingdom
INV536566,P10177,WICKER BASKET 178,4,2011-09-12,3.25,C12008,United Kingdom
INV536430,P10177,WICKER BASKET 178,1,2010-12-04,3.25,C13110,United Kingdom
INV536560,P10177,WICKER BASKET 178,36,2011-10-28,3.25,C11929,United Kingdom
INV536567,P10177,WICKER BASKET 178,96,2011-02-18,3.25,C13243,Australia
INV536568,P10091,CANVAS TOTE 92,4,2011-03-24,5.95,C11696,United Kingdom
INV536569,P10123,SCENTED CANDLE 124,24,2010-12-10,1.65,C12393,United Kingdom
INV536570,P10177,WICKER BASKET 178,10,2011-05-08,3.25,C10099,United Kingdom
INV536491,P10019,RECYCLED ACRYLIC JEWEL BRACELET,4,2011-11-07,2.95,C10289,France
INV536571,P10177,WICKER BASKET 178,5,2011-04-25,3.25,C12816,United Kingdom
INV536572,P10177,WICKER BASKET 178,6,2011-11-20,3.25,C10267,France
INV536573,P10177,WICKER BASKET 178,2,2011-11-11,3.25,C10894,United Kingdom
INV536574,P10177,WICKER BASKET 178,2,2010-12-13,3.25,C10202,United Kingdom
INV536575,P10177,WICKER BASKET 178,8,2011-03-22,3.25,C10409,United Kingdom
INV536576,P10177,WICKER BASKET 178,1,2011-11-20,3.25,C11483,Germany
INV536577,P10168,PORCELAIN BOWL 169,2,2010-12-06,1.25,C12444,United Kingdom
INV536578,P10177,WICKER BASKET 178,4,2011-10-13,3.25,C12263,United Kingdom
INV536503,P10177,WICKER BASKET 178,3,2011-11-19,3.25,C12435,United Kingdom
INV536579,P10177,WICKER BASKET 178,1,2011-10-15,3.25,C13861,United Kingdom
INV536580,P10177,WICKER BASKET 178,72,2011-10-06,3.25,C10251,United Kingdom
INV536581,P10177,WICKER BASKET 178,3,2011-11-05,3.25,C13193,United Kingdom
INV536582,P10137,WICKER BASKET 138,120,2011-09-06,5.95,C11863,United Kingdom
INV536547,P10177,WICKER BASKET 178,3,2011-05-13,3.25,C11280,United Kingdom
INV536583,P10038,PORCELAIN BOWL 39,8,2010-12-13,5.95,C13785,Spain
INV536584,P10177,WICKER BASKET 178,6,2011-10-20,3.25,C10975,United Kingdom
INV536585,P10107,WICKER BASKET 108,2,2011-11-19,6.95,C13592,United Kingdom
INV536586,P10177,WICKER BASKET 178,1,2011-06-20,3.25,C10310,United Kingdom
INV536587,P10177,WICKER BASKET 178,1,2011-06-30,3.25,C13994,United Kingdom
INV536588,P10177,WICKER BASKET 178,1,2011-05-05,3.25,C13840,France
INV536589,P10137,WICKER BASKET 138,5,2011-11-08,5.95,C12360,United Kingdom
INV536587,P10177,WICKER BASKET 178,1,2010-12-03,3.25,C13994,United Kingdom
INV536590,P10177,WICKER BASKET 178,2,2011-08-17,3.25,C11589,United Kingdom
INV536591,P10177,WICKER BASKET 178,1,2011-11-20,3.25,C12042,United Kingdom
INV536592,P10177,WICKER BASKET 178,4,2010-12-21,3.25,C12733,United Kingdom
INV536593,P10177,WICKER BASKET 178,6,2011-12-01,3.25,C10343,United Kingdom
INV536594,P10177,WICKER BASKET 178,3,2011-12-03,3.25,C11649,United Kingdom
INV536595,P10177,WICKER BASKET 178,36,2011-11-25,3.25,C11782,United Kingdom
INV536596,P10177,WICKER BASKET 178,2,2011-05-29,3.25,C13719,United Kingdom
INV536597,P10177,WICKER BASKET 178,96,2011-04-27,3.25,C11166,United Kingdom
INV536598,P10052,WOODEN FRAME 53,4,2011-09-22,14.95,C13679,United Kingdom
INV536599,P10177,WICKER BASKET 178,10,2011-03-28,3.25,C11595,United Kingdom
INV536600,P10179,LINEN NAPKIN SET 180,1,2010-12-14,2.1,C10594,United Kingdom
INV536589,P10177,WICKER BASKET 178,72,2011-11-18,3.25,C12360,United Kingdom
INV536601,P10096,METAL LANTERN 97,6,2011-08-23,4.25,C10425,United Kingdom
INV536602,P10177,WICKER BASKET 178,4,2011-01-28,3.25,C10019,Germany
C536526,P10177,WICKER BASKET 178,-1,2010-12-04,3.25,C13703,United Kingdom
INV536603,P10096,METAL LANTERN 97,1,2011-09-29,4.25,C12107,United Kingdom
INV536604,P10177,WICKER BASKET 178,1,2011-11-07,3.25,C10513,United Kingdom
INV536437,P10177,WICKER BASKET 178,3,2011-05-06,3.25,C11579,Germany
INV536605,P10177,WICKER BASKET 178,2,2010-12-17,3.25,C10147,United Kingdom
INV536606,P10187,WICKER BASKET 188,10,2011-08-30,4.25,C13918,United Kingdom
INV536607,P10177,WICKER BASKET 178,6,2011-03-19,3.25,C12256,United Kingdom
INV536608,P10052,WOODEN FRAME 53,12,2010-12-29,14.95,C10232,United Kingdom
INV536388,P10177,WICKER BASKET 178,2,2011-06-19,3.25,C10443,United Kingdom
INV536436,P10070,CERAMIC MUG 71,8,2011-06-06,6.95,C10400,United Kingdom
INV536609,P10019,RECYCLED ACRYLIC JEWEL BRACELET,10,2011-06-22,2.95,C11232,United Kingdom
INV536610,P10177,WICKER BASKET 178,120,2011-11-01,3.25,C12006,United Kingdom
INV536611,P10177,WICKER BASKET 178,8,2011-06-08,3.25,C12517,Belgium
INV536612,P10177,WICKER BASKET 178,10,2011-11-18,3.25,C10337,United Kingdom
INV536613,P10177,WICKER BASKET 178,2,2011-11-05,3.25,C12964,United Kingdom
INV536614,P10177,WICKER BASKET 178,5,2011-09-01,3.25,C10316,United Kingdom
INV536504,P10038,PORCELAIN BOWL 39,5,2010-12-12,5.95,C10930,United Kingdom
INV536615,P10019,RECYCLED ACRYLIC JEWEL BRACELET,4,2011-11-10,2.95,C10299,Switzerland
INV536402,P10177,WICKER BASKET 178,36,2011-11-19,3.25,C12511,United Kingdom
INV536616,P10177,WICKER BASKET 178,3,2011-04-23,3.25,C13475,United Kingdom
INV536617,P10177,WICKER BASKET 178,10,2011-06-27,3.25,C12325,United Kingdom
INV536618,P10179,LINEN NAPKIN SET 180,1,2011-03-11,2.1,C12856,United Kingdom
INV536576,P10177,WICKER BASKET 178,3,2010-12-03,3.25,C11483,Germany
INV536619,P10177,WICKER BASKET 178,1,2011-06-05,3.25,C10790,United Kingdom
INV536620,P10019,RECYCLED ACRYLIC JEWEL BRACELET,4,2010-12-26,2.95,C10981,United Kingdom
INV536434,P10177,WICKER BASKET 178,4,2011-01-15,3.25,C13365,United Kingdom
INV536621,P10107,WICKER BASKET 108,2,2011-06-06,6.95,C10916,United Kingdom
INV536622,P10179,LINEN NAPKIN SET 180,12,2011-11-10,2.1,C12959,United Kingdom
INV536623,P10177,WICKER BASKET 178,1,2011-11-05,3.25,C12973,United Kingdom
INV536624,P10177,WICKER BASKET 178,3,2011-12-03,3.25,C10165,United Kingdom
INV536494,P10177,WICKER BASKET 178,4,2011-06-07,3.25,C12781,United Kingdom
INV536521,P10177,WICKER BASKET 178,1,2011-07-10,3.25,C12827,United Kingdom
